"","Estimate","Std. Error"
"log_sdSR",-1.40687749278256,0.187195307839604
"log_sd_logeffortT",-1.00027618942304,0.159237413719775
"log_sd_logeffortG",-1.13752676239501,0.174044058725433
"logit_rhoalphaT",1.76369698087882,0.443327088449989
"logit_rhoalphaG",1.94647827226609,0.540734753889057
"lnM",-1.66285700832138,0.0967864764752343
"log_qT",-5.19415419322852,0.320899504129844
"log_qT",-5.27028526870567,0.302174267284174
"log_qT",-5.11993416324434,0.291596109018615
"log_qT",-4.91503551531423,0.265353138666596
"log_qT",-4.61751629883437,0.244587066240546
"log_qT",-4.52099914774607,0.249621612389121
"log_qT",-4.60626780189655,0.241325570123882
"log_qT",-4.75298962293313,0.244309651676095
"log_qT",-4.94398609405311,0.258472826529596
"log_qT",-5.33041503146257,0.260273240116903
"log_qT",-5.88692462240343,0.265606287768266
"log_qT",-6.54522103470336,0.289644902062407
"log_qT",-7.19704106899338,0.334702994766818
"log_qT",-7.55352432238171,0.37428107909114
"log_qT",-8.1946228525568,0.417456375583369
"log_qT",-8.55788666303479,0.437372262523616
"log_qT",-8.90533162980079,0.46485807164508
"log_qT",-8.82297585987291,0.472282742902021
"log_qT",-8.80488836149327,0.478770047414622
"log_qT",-8.77077519681517,0.48351370398216
"log_qT",-8.62657913103624,0.482114485283013
"log_qT",-8.67936666662192,0.504510500154984
"log_qT",-8.67499762732349,0.50902803830687
"log_qT",-8.67743874894316,0.513985758961886
"log_qT",-8.62942235892345,0.5253219867849
"log_qT",-8.55526945069652,0.531052795086928
"log_qT",-8.31639443161499,0.538506851713066
"log_qT",-8.10564606923597,0.559260262775507
"log_qT",-7.75329794035024,0.589833837705995
"log_qT",-7.93360247439046,0.635693220232347
"log_qT",-8.0243663521861,0.688872704850575
"log_qT",-8.18920315526706,0.741097196107107
"log_qT",-4.24546593741092,0.292867088400103
"log_qT",-4.28740263036297,0.261631637000516
"log_qT",-4.19338478323092,0.262099907054146
"log_qT",-4.13186103873458,0.267864055073253
"log_qT",-4.05459628599775,0.263192548272671
"log_qT",-3.87900954346771,0.256331472161918
"log_qT",-3.83496685456794,0.245202730723114
"log_qT",-3.81373226029255,0.231418965174779
"log_qT",-3.86687473918593,0.244429136386626
"log_qT",-4.09132901969279,0.248781353403
"log_qT",-4.41132948707647,0.229408884550797
"log_qT",-4.88683265434982,0.233725409813108
"log_qT",-5.38156503451557,0.256418357384333
"log_qT",-5.65617981907513,0.289075231247686
"log_qT",-6.30449377797059,0.31424596854501
"log_qT",-6.65371295746096,0.325739064305269
"log_qT",-7.0155058351858,0.346925977065425
"log_qT",-6.90563017055429,0.356464179080845
"log_qT",-6.88074747837109,0.360377232729243
"log_qT",-6.85254749158394,0.36212648530834
"log_qT",-6.71537710327756,0.358104805690185
"log_qT",-6.81698438073496,0.37815677610159
"log_qT",-6.85418766704478,0.378142017235628
"log_qT",-6.90558872868599,0.382087154666999
"log_qT",-6.90247409261631,0.399020276872458
"log_qT",-6.86761688468754,0.409637177467945
"log_qT",-6.64762424920259,0.42761773785528
"log_qT",-6.47754321595335,0.462449800714501
"log_qT",-6.1812818802236,0.505793696733417
"log_qT",-6.44583598693043,0.555893268295747
"log_qT",-6.63337962412275,0.605066050670222
"log_qT",-6.78994507497024,0.653186014470896
"log_qT",-3.81508364532875,0.347916416769369
"log_qT",-3.67924465663567,0.29873183825954
"log_qT",-3.57624821757661,0.286168508248345
"log_qT",-3.641722311188,0.290421439816935
"log_qT",-3.77843749042585,0.305318561811927
"log_qT",-3.63369686395081,0.300014314236752
"log_qT",-3.62013633961901,0.283520001288788
"log_qT",-3.61103317747355,0.269312339613527
"log_qT",-3.55499678294399,0.263759757124748
"log_qT",-3.62693587247813,0.262909652965507
"log_qT",-3.77491209499045,0.244351681633218
"log_qT",-4.05189151341262,0.222271299827354
"log_qT",-4.32139137101683,0.232983101843455
"log_qT",-4.43957433575174,0.261287134194494
"log_qT",-4.92199030782494,0.272577242259492
"log_qT",-5.19517769591141,0.279195339587561
"log_qT",-5.55435687089819,0.297195753166321
"log_qT",-5.46867522227458,0.309123505368565
"log_qT",-5.47980666383647,0.314277201147392
"log_qT",-5.53065714309163,0.321998138870954
"log_qT",-5.50627767731886,0.318030999757825
"log_qT",-5.59684537787082,0.323724499647258
"log_qT",-5.6310486696701,0.310645661801246
"log_qT",-5.70363386715432,0.308783901210163
"log_qT",-5.74749172356629,0.327437343607122
"log_qT",-5.76024910173846,0.339793592984041
"log_qT",-5.57623450353748,0.368262577924656
"log_qT",-5.4925797077867,0.417109740737268
"log_qT",-5.35132006538814,0.47094867127329
"log_qT",-5.69457038554514,0.525482859553711
"log_qT",-6.00094978078773,0.575090777902561
"log_qT",-6.09982084329368,0.617811941200716
"log_qT",-3.58846732105275,0.482839050999119
"log_qT",-3.35859249287425,0.419895983292445
"log_qT",-3.30829337006268,0.392730941006772
"log_qT",-3.45684016320495,0.371240806776725
"log_qT",-3.6160172116976,0.377432478568204
"log_qT",-3.45066527882441,0.367270273349435
"log_qT",-3.43040408445396,0.351396826647382
"log_qT",-3.40576589260569,0.333384652758417
"log_qT",-3.30022089916365,0.317664199867757
"log_qT",-3.34490735816983,0.303385640061074
"log_qT",-3.47621571676862,0.279440804873759
"log_qT",-3.67534085622709,0.255844529185563
"log_qT",-3.75077858263089,0.251468077019876
"log_qT",-3.78634572328984,0.267602866403328
"log_qT",-4.07898318658381,0.270273368614049
"log_qT",-4.29894638782055,0.276216155111622
"log_qT",-4.57688556781082,0.291009496745461
"log_qT",-4.47440599555719,0.300245682595057
"log_qT",-4.44523827984324,0.304520293611266
"log_qT",-4.54360636260494,0.312924011755937
"log_qT",-4.61765426901626,0.314948553633395
"log_qT",-4.68996615310741,0.305280847518761
"log_qT",-4.7285329197059,0.279675366328199
"log_qT",-4.83951541402037,0.269769375508598
"log_qT",-4.94806049567906,0.286329706765385
"log_qT",-5.00004858067678,0.299940497867466
"log_qT",-4.8912516248718,0.334374475841971
"log_qT",-4.94170882743046,0.397981883269029
"log_qT",-4.97467462148712,0.461546117652691
"log_qT",-5.31045542792782,0.519416062501629
"log_qT",-5.6644130023006,0.571250535051181
"log_qT",-5.7239846280664,0.611553806599378
"log_qT",-3.68262333247197,0.666423325175421
"log_qT",-3.44910256783709,0.601242641874833
"log_qT",-3.41628703171343,0.561569625254113
"log_qT",-3.56412464785747,0.520111562084971
"log_qT",-3.69464464996852,0.497272493294196
"log_qT",-3.51543624174798,0.476323000313721
"log_qT",-3.47881980593836,0.455003957477157
"log_qT",-3.43453328103357,0.436281267884718
"log_qT",-3.31508116895924,0.415732238533896
"log_qT",-3.34239674702408,0.394469046877267
"log_qT",-3.45886944437633,0.360616630235456
"log_qT",-3.64215665274435,0.327643633142283
"log_qT",-3.71104404079978,0.311419139976113
"log_qT",-3.67680683281296,0.317081727032004
"log_qT",-3.81259831486118,0.306196636010035
"log_qT",-4.01127489294491,0.315110921253071
"log_qT",-4.23484338169104,0.329015646591649
"log_qT",-4.11927584585271,0.331918868764324
"log_qT",-3.95789842013961,0.33135527097198
"log_qT",-3.97897887938913,0.33771264993724
"log_qT",-4.02996328339884,0.335991995066346
"log_qT",-4.1076478833757,0.320514329041451
"log_qT",-4.22991342677645,0.288288911734767
"log_qT",-4.37404521353576,0.266693640036544
"log_qT",-4.49020630083523,0.276567915395973
"log_qT",-4.51150730639387,0.287293332348827
"log_qT",-4.43754611710798,0.328305078405825
"log_qT",-4.62383217144155,0.395479971543199
"log_qT",-4.85659978251573,0.470690070437401
"log_qT",-5.14158927604389,0.530922632519561
"log_qT",-5.46928593477948,0.584430817138947
"log_qT",-5.47608461820104,0.623629463046353
"log_qT",-3.68944050329243,0.855849321093704
"log_qT",-3.48100904522754,0.794249121767063
"log_qT",-3.45272777135773,0.748081039085402
"log_qT",-3.58082692368104,0.699377336830911
"log_qT",-3.69028920403069,0.660621733020903
"log_qT",-3.52360616082181,0.626006117855095
"log_qT",-3.4929489239002,0.597852955445201
"log_qT",-3.45103551391296,0.575167488693486
"log_qT",-3.35226754408331,0.553403166327223
"log_qT",-3.38034445656814,0.528362700104419
"log_qT",-3.48867615153084,0.495197354187699
"log_qT",-3.65352794792175,0.459376805340323
"log_qT",-3.72049161257901,0.434308007430803
"log_qT",-3.68614041835826,0.426702155305444
"log_qT",-3.77942737183106,0.412482061310284
"log_qT",-3.9770968760418,0.406242445110412
"log_qT",-4.11052902864422,0.419119589424178
"log_qT",-4.01962188893927,0.413313945717215
"log_qT",-3.72883625845048,0.400035875153016
"log_qT",-3.67734189635145,0.403504493623588
"log_qT",-3.72380559773415,0.399479394325846
"log_qT",-3.83573025910247,0.380756687583547
"log_qT",-4.05850103394134,0.343619028631073
"log_qT",-4.24895576223105,0.307732518939939
"log_qT",-4.37940563195735,0.307263675037551
"log_qT",-4.35329896646241,0.314440632860642
"log_qT",-4.29464568671074,0.357254737022768
"log_qT",-4.54382288147005,0.427751932851231
"log_qT",-4.86658225108496,0.502937244478957
"log_qT",-5.07414102531348,0.561364028933486
"log_qT",-5.33566051647869,0.615409863668607
"log_qT",-5.32384707228358,0.655775669235734
"log_qT",-3.82011816215859,1.0576424051461
"log_qT",-3.64218604652697,0.99849175570427
