"","Estimate","Std. Error"
"log_sig",-2.98634163124665,0.075193724147921
"lnM",-2.37803753241129,0.0843316348384202
"log_qT",-4.10320630624279,0.169770849663123
"log_qG",-2.60855743684131,0.124895309237332
"logselG_p1",-2.46434588162544,0.069854153441642
"logselG_p2",1.83815473575108,0.00213345214655079
"logselT_p1",6.13467209277521,0.0213043549022127
"logselT_p2",-2.81866346946288,0.0806772674134127
"logdevT_p1",0.0288507635362188,0.0230216334778397
"logdevT_p1",-0.0129372333289009,0.0261542017845908
"logdevT_p1",-0.0095952582347136,0.0268392207910077
"logdevT_p1",0.0214527295005041,0.0329344702577225
"logdevT_p1",-0.0226558717059849,0.0313548131426329
"logdevT_p1",0.0180443040793929,0.0198473219393649
"logdevT_p1",0.00436082960375402,0.0154882006971362
"logdevT_p1",-0.0163243173133099,0.0164141690863205
"logdevT_p1",0.025933106988477,0.0155345677381515
"logdevT_p1",0.00272387112278015,0.0126874328857075
"logdevT_p1",0.000505544690564899,0.0115901738215226
"logdevT_p1",0.0268507587039571,0.0108346026988716
"logdevT_p1",-0.0442618664798268,0.0142475439225723
"logdevT_p1",0.00573853715885297,0.0163154167874985
"logdevT_p1",-0.0669106425146919,0.0158474775789017
"logdevT_p1",0.0594571699269816,0.0137860991797087
"logdevT_p1",0.010023793956916,0.0153634420490469
"logdevT_p1",-0.0372836235185083,0.0172361488316042
"logdevT_p1",0.00994668001595666,0.0195469196491029
"logdevT_p1",-0.0687783248185774,0.0212588656289924
"logdevT_p1",-0.0124957537150551,0.0245860324178922
"logdevT_p1",-0.00221228168791988,0.0240866185178035
"logdevT_p1",0.0363779770243295,0.0227692805970396
"logdevT_p1",0.0488036257553186,0.0210534164444041
"logdevT_p1",-0.0144025677882508,0.0199005598634693
"logdevT_p1",0.00989572282098158,0.0207628836151229
"logdevT_p1",-0.00170742414529357,0.0240939203754984
"logdevT_p1",-0.0743476998950021,0.0243603651470088
"logdevT_p1",0.0043974824974542,0.0274670975397816
"logdevT_p1",-0.026832150057798,0.0244059737543943
"logdevT_p1",-0.0140246726440085,0.0419904693784196
"log_rec",13.1378703023865,0.136546265485205
"log_rec",12.6538729706299,0.179628730363026
"log_rec",12.0984563437661,0.226254061784267
"log_rec",12.2169648763854,0.210050907046439
"log_rec",13.450918645396,0.112392536838512
"log_rec",13.6831466291368,0.102236906081509
"log_rec",13.8469045816039,0.0839501440832475
"log_rec",13.4641598357895,0.093254888354032
"log_rec",13.2025685379913,0.100779263082166
"log_rec",14.0128524026801,0.0625842582958615
"log_rec",13.7676981604084,0.0711518251296447
"log_rec",13.6816061440404,0.0748486134782858
"log_rec",13.519099836304,0.0853342178028744
"log_rec",13.4629078006662,0.0932538789353372
"log_rec",13.32840737255,0.105485250814224
"log_rec",13.1253281765026,0.121794379626165
"log_rec",13.004371668704,0.139097723889574
"log_rec",12.6973099729959,0.174099322806109
"log_rec",13.147728066235,0.168515264402574
"log_rec",13.6377337030999,0.132548688665493
"log_rec",13.4823671778925,0.143302217313203
"log_rec",13.2772394781639,0.147621813126183
"log_rec",13.1253317237412,0.146379237088098
"log_rec",12.93727392206,0.140586871652057
"log_rec",12.6379084687769,0.145339160237278
"log_rec",12.4738247498126,0.148543634305586
"log_rec",12.2220104422902,0.170992823950333
"log_rec",11.8840552895999,0.219051008118483
"log_rec",11.6666289352141,0.254108999826354
"log_rec",11.5482184574741,0.306153970972442
"log_rec",11.2828015985845,0.345096005880418
"log_rec",11.2080956663695,0.415443700402936
"log_rec",12.9478498557598,0.143340202581134
"log_rec",12.1438786856609,0.222416945170273
"log_rec",11.5271748020813,0.306446171924229
"log_rec",11.3750171413156,0.331556758561963
"log_rec",11.3493272324552,0.336266184279523
"lnalpha",-8.99220651388673,0.428187855183704
"lnbeta",-22.8669079682554,0.334902573393338
"effort_devsT",0.321249084322719,0.143706968575439
"effort_devsT",0.1699190011668,0.139530763149989
"effort_devsT",-0.0714523926713062,0.135118066460472
"effort_devsT",-0.0188848528519812,0.151886611924714
"effort_devsT",0.226602362909265,0.167794125601219
"effort_devsT",0.0896693424687053,0.154044846789979
"effort_devsT",0.0900416906139562,0.14677730554786
"effort_devsT",0.0933505155755374,0.145678718367865
"effort_devsT",0.0223308792333773,0.153912734089529
"effort_devsT",-0.0495837638665325,0.155539020293736
"effort_devsT",-0.0358796188735792,0.153220886306283
"effort_devsT",-0.0463678135166486,0.15021842545396
"effort_devsT",-0.0306021518937635,0.144356888380792
"effort_devsT",-0.131097901693269,0.141241432625946
"effort_devsT",-0.148933022686828,0.137565182760849
"effort_devsT",-0.0847073425253194,0.127165139258184
"effort_devsT",0.107690560877279,0.143189945393322
"effort_devsT",0.228004866064324,0.134886305666167
"effort_devsT",-0.0509981264772792,0.127182866942163
"effort_devsT",-0.0497141780430846,0.124220650462065
"effort_devsT",-0.0942584763646774,0.151499517342032
"effort_devsT",-0.187179577357304,0.147190361451829
"effort_devsT",-0.171623908540913,0.145432210943257
"effort_devsT",-0.183193265956577,0.150289190341642
"effort_devsT",-0.0830684098466291,0.148855333051723
"effort_devsT",0.069402478369137,0.139735013315843
"effort_devsT",-0.0722158379316599,0.134611495153914
"effort_devsT",-0.043358504380838,0.137771841959561
"effort_devsT",-0.0842116346369749,0.131382785761846
"effort_devsT",-0.136155173787463,0.137806886177881
"effort_devsT",0.0461710558640732,0.137999054056075
"effort_devsG",0.036393946142173,0.102682530281068
"effort_devsG",-0.00144897274396415,0.1010618074716
"effort_devsG",-0.00386124054319851,0.106616252418116
"effort_devsG",-0.268349425572283,0.126593364080968
"effort_devsG",0.18432143690876,0.105367094487539
"effort_devsG",-0.0602450649969699,0.101331985736822
"effort_devsG",0.0744164249049771,0.0989475908913314
"effort_devsG",-0.0484391713921898,0.0939087975081794
"effort_devsG",0.0347388208490753,0.0973276319616779
"effort_devsG",-0.235468811758746,0.0940175640454056
"effort_devsG",0.0168548560757916,0.0921832457939306
"effort_devsG",-0.116066170965232,0.0932614771416072
"effort_devsG",-0.118311657694899,0.0932347239473721
"effort_devsG",0.233889536492108,0.0920447152285452
"effort_devsG",0.633866777999076,0.095235291337045
"effort_devsG",-0.242533859671183,0.0956303861297257
"effort_devsG",-0.414130186142085,0.0974104810718911
"effort_devsG",0.244832255547784,0.093642605010451
"effort_devsG",0.0974240259986479,0.0955595561730738
"effort_devsG",0.121770324429153,0.0951538884795845
"effort_devsG",-0.0855903648374232,0.0953388774592391
"effort_devsG",0.0253390326734613,0.0988850403422774
"effort_devsG",-0.232048520939206,0.105379053274985
"effort_devsG",-0.147963502815216,0.101159873448911
"effort_devsG",0.124971163207788,0.0940027544367839
"effort_devsG",-0.137267386900059,0.099707346653228
"effort_devsG",-0.0895951001895262,0.101498592541642
"effort_devsG",0.421101564608475,0.109031264812767
"effort_devsG",-0.290059744997391,0.124883119965794
"effort_devsG",0.2602765260517,0.122176579038811
"effort_devsG",-0.155132546400693,0.143352257530998
