Popsize,1512260.86
Popsize,1491067.09
Popsize,1177749.88
Popsize,953555.172
Popsize,1237353.17
Popsize,1673968.035
Popsize,2161355.001
Popsize,1925128.396
Popsize,1590832.3
Popsize,2430162.676
Popsize,2863957.711
Popsize,3129131.405
Popsize,3286907.11
Popsize,3461319.213
Popsize,3650482.556
Popsize,3523035.448
Popsize,3316772.219
Popsize,3100141.38
Popsize,3400497.25
Popsize,4072535.735
Popsize,4396574.52
Popsize,4431334.91
Popsize,4340782.6
Popsize,4026434.3
Popsize,3398034.5
Popsize,2888456.9
Popsize,2371133.66
Popsize,1929160.81
Popsize,1714582.9
Popsize,1681627.9
Popsize,1599052.9
Popsize,1532672.4
Biomass,2821330
Biomass,3095800
Biomass,2509750
Biomass,1965070
Biomass,2564900
Biomass,3482420
Biomass,4267670
Biomass,3714240
Biomass,3053870
Biomass,4566570
Biomass,5329630
Biomass,5710970
Biomass,5791750
Biomass,5764050
Biomass,5503350
Biomass,4784990
Biomass,4777370
Biomass,4925280
Biomass,4721800
Biomass,5007200
Biomass,5171470
Biomass,5061970
Biomass,5289390
Biomass,5613320
Biomass,5477640
Biomass,4802720
Biomass,4237790
Biomass,3547060
Biomass,2967940
Biomass,2873160
Biomass,3068680
Biomass,3003530
SPBiomass,2991650
SPBiomass,3216740
SPBiomass,2580890
SPBiomass,2182870
SPBiomass,2630830
SPBiomass,3635980
SPBiomass,4570700
SPBiomass,3803680
SPBiomass,3170360
SPBiomass,4451690
SPBiomass,5335210
SPBiomass,5746410
SPBiomass,5985860
SPBiomass,5824660
SPBiomass,5229820
SPBiomass,4728450
SPBiomass,4676200
SPBiomass,4333220
SPBiomass,3988510
SPBiomass,4248870
SPBiomass,4436450
SPBiomass,4181380
SPBiomass,4595030
SPBiomass,5105640
SPBiomass,4597030
SPBiomass,3924870
SPBiomass,3624210
SPBiomass,2856110
SPBiomass,2344490
SPBiomass,2291670
SPBiomass,2300410
SPBiomass,2228660
Ftrap,0.205307142
Ftrap,0.248865042
Ftrap,0.297790058
Ftrap,0.42750425
Ftrap,0.3511115
Ftrap,0.209920167
Ftrap,0.3289555
Ftrap,0.400076917
Ftrap,0.300862
Ftrap,0.290711725
Ftrap,0.381585925
Ftrap,0.410295492
Ftrap,0.484621681
Ftrap,0.134007877
Ftrap,0.292560662
Ftrap,0.308743108
Ftrap,0.319702442
Ftrap,0.212938412
Ftrap,0.183324104
Ftrap,0.193223792
Ftrap,0.164369793
Ftrap,0.132008109
Ftrap,0.174670442
Ftrap,0.280826663
Ftrap,0.207516625
Ftrap,0.276446173
Ftrap,0.241849246
Ftrap,0.193007745
Ftrap,0.144608517
Ftrap,0.086027611
Ftrap,0.086851908
Ftrap,0.060455183
FGill,0.202067717
FGill,0.285792725
FGill,0.361278075
FGill,0.574687
FGill,0.24633825
FGill,0.478333667
